iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
POL	Poland	312685	210.3233	0	Europe	1	25	Polish	.	.	Polish	.	.	.	.	.	.	.	DEU	.	.	.	RUS	.	.
PRK	Korea, Dem. People's Rep. of	120538	130.5858	0	Asia	1	15	Korean	.	.	Korean	.	.	.	.	.	.	.	JPN	.	.	.	.	.	.
PRT	Portugal	92389	114.3257	0	Europe	1	25	Portuguese	.	.	Portuguese	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PRY	Paraguay	406752	239.8826	1	America	1	25	Spanish	.	.	Guarani	Spanish	.	.	.	.	.	.	ESP	.	.	.	.	.	.
QAT	Qatar	11437	40.22443	0	Asia	1	13	Arabic	Persian	.	Arabic	Persian	.	.	.	.	.	.	GBR	.	.	.	.	.	.
ROU	Romania	238391	183.6448	0	Europe	1	25	Romanian	.	.	Romanian	.	.	.	Hungarian	.	.	.	.	.	.	.	TUR	AUT	HUN
RUS	Russian Federation	17075400	1554.244	0	Asia	1	25	Russian	.	.	Russian	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RWA	Rwanda	26338	61.0415	1	Africa	1	12	French	English	Rwanda	Rwanda	English	.	.	French	.	.	.	BEL	DEU	.	.	.	.	.
SAU	Saudi Arabia	2153168	551.9157	0	Asia	1	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SDN	Sudan	2505813	595.399	0	Africa	1	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	GBR	EGY	.	.	.	.	.
SEN	Senegal	196722	166.8247	0	Africa	1	25	French	.	.	French	Wolof	Pulaar	.	Serer-Sine	.	.	.	FRA	.	.	.	.	.	.
SGP	Singapore	646	9.559828	0	Asia	1	1	English	Chinese	.	English	Chinese Min Nan	.	.	Chinese Yue	Malay	.	.	GBR	.	.	.	.	.	.
SLB	Solomon Islands	29785	64.91314	0	Pacific	1	9	English	.	.	Solomons Pidgin	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
SLE	Sierra Leone	73326	101.8504	0	Africa	1	25	English	.	.	English	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
SLV	El Salvador	21041	54.55907	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
