Indicator	iso3	Time	Value	Flag
XGOVEXP_IMF_2T3	CHL	2008	6.5781	
XGOVEXP_IMF_2T3	CHL	2009	5.98745	
XGOVEXP_IMF_2T3	CHL	2010	5.79523	
XGOVEXP_IMF_2T3	CHL	2011	5.75652	
XGOVEXP_IMF_2T3	CHL	2012	6.4396	
XGOVEXP_IMF_2T3	CHL	2013	5.81486	
XGOVEXP_IMF_2T3	CHL	2014	5.56471	
XGOVEXP_IMF_2T3	CHL	2015	5.55094	
XGOVEXP_IMF_5T8	SYC	2002	1.60809	
XGOVEXP_IMF_5T8	SYC	2006	1.96035	
XGOVEXP_IMF_5T8	SYC	2011	3.3771400000000003	
XGOVEXP_IMF_3	TUR	2000	1.41874	
XGOVEXP_IMF_3	TUR	2001	1.2743799999999998	
XGOVEXP_IMF_3	TUR	2002	1.34392	
XGOVEXP_IMF_3	TUR	2003	1.52704	
XGOVEXP_IMF_3	TUR	2004	1.90213	
XGOVEXP_IMF_3	TUR	2006	1.85115	
XGOVEXP_IMF_3	TUR	2012	2.38678	
XGOVEXP_IMF_3	TUR	2013	2.58586	
XGOVEXP_IMF_2	ISL	1999	2.24023	
XGOVEXP_IMF_2	ISL	2000	2.31975	
XGOVEXP_IMF_2	ISL	2001	2.3793	
XGOVEXP_IMF_2	ISL	2002	2.70113	
XGOVEXP_IMF_2	ISL	2003	2.50124	
XGOVEXP_IMF_2	ISL	2004	2.55757	
XGOVEXP_IMF_2	ISL	2005	2.7238900000000004	
XGOVEXP_IMF_2	ISL	2006	2.71151	
XGOVEXP_IMF_2	ISL	2007	2.57106	
XGOVEXP_IMF_2	ISL	2008	1.90225	
XGOVEXP_IMF_2	ISL	2009	2.16467	
XGOVEXP_IMF_2	ISL	2010	2.0501400000000003	
XGOVEXP_IMF_2	ISL	2011	2.2509	
XGOVEXP_IMF_2	ISL	2012	2.29082	
XGOVEXP_IMF_2	ISL	2013	2.32015	
XGOVEXP_IMF_02	AUS	2000	0.16524	
XGOVEXP_IMF_02	AUS	2005	0.14068	
XGOVEXP_IMF_02	AUS	2006	0.1342	
XGOVEXP_IMF_02	AUS	2007	0.1208	
XGOVEXP_IMF_02	AUS	2008	0.11757	
XGOVEXP_IMF_02	AUS	2009	0.15081	
XGOVEXP_IMF_02	AUS	2010	0.16715	
XGOVEXP_IMF_02	AUS	2011	0.29453	
XGOVEXP_IMF_02	AUS	2012	0.33014	
XGOVEXP_IMF_02	AUS	2013	0.38422	
XGOVEXP_IMF_02	AUS	2014	0.39996	
XGOVEXP_IMF_02	FIN	1999	0.64362	
XGOVEXP_IMF_02	FIN	2000	0.70411	
XGOVEXP_IMF_02	FIN	2001	0.67994	
XGOVEXP_IMF_02	FIN	2002	0.68119	
XGOVEXP_IMF_02	FIN	2003	0.68111	
XGOVEXP_IMF_02	FIN	2004	0.68704	
XGOVEXP_IMF_02	FIN	2005	0.6732	
XGOVEXP_IMF_02	FIN	2006	0.67979	
XGOVEXP_IMF_02	FIN	2007	0.69171	
XGOVEXP_IMF_02	FIN	2008	0.7066100000000001	
XGOVEXP_IMF_02	FIN	2009	0.70355	
XGOVEXP_IMF_02	FIN	2010	0.69263	
XGOVEXP_IMF_02	FIN	2011	0.70921	
XGOVEXP_IMF_02	FIN	2012	1.33012	
XGOVEXP_IMF_02	FIN	2013	1.33844	
XGOVEXP_IMF_02	FIN	2014	1.32169	
XGOVEXP_IMF_5T8	TKM	2012	1.91902	
XGOVEXP_IMF_02	USA	2002	1.1227200000000002	
XGOVEXP_IMF_02	USA	2003	0.92561	
XGOVEXP_IMF_02	USA	2004	0.90439	
XGOVEXP_IMF_02	USA	2005	0.88202	
XGOVEXP_IMF_02	USA	2006	0.8945700000000001	
XGOVEXP_IMF_02	USA	2007	0.92691	
XGOVEXP_IMF_02	USA	2008	0.8436	
XGOVEXP_IMF_02	USA	2009	0.80401	
XGOVEXP_IMF_02	USA	2010	0.8498100000000001	
XGOVEXP_IMF_02	USA	2011	0.8314299999999999	
XGOVEXP_IMF_02	USA	2012	0.88192	
XGOVEXP_IMF_02	USA	2013	0.86308	
XGOVEXP_IMF_02	USA	2014	0.8838	
XGOVEXP_IMF_02	PER	2000	1.41795	
XGOVEXP_IMF_02	PER	2001	1.3117299999999998	
XGOVEXP_IMF_02	PER	2002	1.31424	
XGOVEXP_IMF_02	PER	2003	1.31289	
XGOVEXP_IMF_02	PER	2004	1.30756	
XGOVEXP_IMF_02	PER	2005	1.15818	
XGOVEXP_IMF_02	PER	2006	1.34093	
XGOVEXP_IMF_02	PER	2007	1.37115	
